"ChatGPT Product Search","ChatGPT Produktsuche"
"Generate feed","Feed erzeugen"
"Validate","Validieren"
"Preview","Vorschau"
"Download","Download"
"Copy feed URL","Feed-URL kopieren"
"Settings","Einstellungen"
"Feed logs","Feed-Protokolle"
"Merchant application","Händler-Bewerbung"
"Store View","Store View"
"Store status","Store-Status"
"Readiness","Bereitschaft"
"Delivery","Lieferung"
"Open","Offen"
"complete","vollständig"
"Live preview","Live-Vorschau"
"Preview and log","Vorschau und Protokoll"
"All logs","Alle Protokolle"
"Measurement Pixel","Measurement Pixel"
"Pixel ID","Pixel-ID"
